"zip","zip5","n","value","region","county.fips.character","county.name","state.name","state.fips.character","state.abb","city","state","latitude","longitude"
"30080","30080-2724",1,0,13067,"13067","cobb","georgia","13","GA","Smyrna","GA",33.87578,-84.50382
"30083","30083",1,0,13089,"13089","dekalb","georgia","13","GA","Stone Mountain","GA",33.795622,-84.19771
"30087","30087",1,0,13089,"13089","dekalb","georgia","13","GA","Stone Mountain","GA",33.817438,-84.13167
"30087","30087-4277",1,7000,13089,"13089","dekalb","georgia","13","GA","Stone Mountain","GA",33.817438,-84.13167
"30087","30087-5332",1,3500,13089,"13089","dekalb","georgia","13","GA","Stone Mountain","GA",33.817438,-84.13167
"30088","30088-3521",1,0,13089,"13089","dekalb","georgia","13","GA","Stone Mountain","GA",33.762106,-84.17938
"30094","30094-5618",1,0,13247,"13247","rockdale","georgia","13","GA","Conyers","GA",33.621906,-84.04633
"30096","30096",2,7000,13135,"13135","gwinnett","georgia","13","GA","Duluth","GA",33.979401,-84.15118
"30096","30096-1823",1,0,13135,"13135","gwinnett","georgia","13","GA","Duluth","GA",33.979401,-84.15118
"30096","30096-5207",1,0,13135,"13135","gwinnett","georgia","13","GA","Duluth","GA",33.979401,-84.15118
"30096","30096-8744",1,0,13135,"13135","gwinnett","georgia","13","GA","Duluth","GA",33.979401,-84.15118
"30096","30096-9256",1,0,13135,"13135","gwinnett","georgia","13","GA","Duluth","GA",33.979401,-84.15118
"30097","30097",1,7000,13135,"13135","gwinnett","georgia","13","GA","Duluth","GA",34.020621,-84.14294
"30097","30097-1902",1,0,13135,"13135","gwinnett","georgia","13","GA","Duluth","GA",34.020621,-84.14294
"30097","30097-4376",1,0,13135,"13135","gwinnett","georgia","13","GA","Duluth","GA",34.020621,-84.14294
"30097","30097-4800",1,3500,13135,"13135","gwinnett","georgia","13","GA","Duluth","GA",34.020621,-84.14294
"30097","30097-8064",1,0,13135,"13135","gwinnett","georgia","13","GA","Duluth","GA",34.020621,-84.14294
"30097","30097-8481",1,3500,13135,"13135","gwinnett","georgia","13","GA","Duluth","GA",34.020621,-84.14294
"30101","30101-5805",1,0,13067,"13067","cobb","georgia","13","GA","Acworth","GA",34.052285,-84.68483
"30101","30101-7927",1,0,13067,"13067","cobb","georgia","13","GA","Acworth","GA",34.052285,-84.68483
"30102","30102",1,7000,13057,"13057","cherokee","georgia","13","GA","Acworth","GA",34.097998,-84.6183
"30106","30106",1,0,13067,"13067","cobb","georgia","13","GA","Austell","GA",33.828061,-84.62593
"30106","30106-8248",1,3500,13067,"13067","cobb","georgia","13","GA","Austell","GA",33.828061,-84.62593
"30108","30108-3220",1,0,13045,"13045","carroll","georgia","13","GA","Bowdon","GA",33.533934,-85.26088
"30114","30114-5123",1,3500,13057,"13057","cherokee","georgia","13","GA","Canton","GA",34.228478,-84.50402
"30114","30114-6565",1,0,13057,"13057","cherokee","georgia","13","GA","Canton","GA",34.228478,-84.50402
"30114","30114-7724",1,0,13057,"13057","cherokee","georgia","13","GA","Canton","GA",34.228478,-84.50402
"30115","30115-2712",1,0,13057,"13057","cherokee","georgia","13","GA","Canton","GA",34.194029,-84.43884
"30115","30115-6328",1,3500,13057,"13057","cherokee","georgia","13","GA","Canton","GA",34.194029,-84.43884
"30121","30121-4764",1,0,13015,"13015","bartow","georgia","13","GA","Cartersville","GA",34.200264,-84.77533
"30122","30122-6864",1,0,13097,"13097","douglas","georgia","13","GA","Lithia Springs","GA",33.776137,-84.64484
"30127","30127-4421",1,3500,13067,"13067","cobb","georgia","13","GA","Powder Springs","GA",33.874553,-84.68784
"30143","30143-2715",2,3500,13227,"13227","pickens","georgia","13","GA","Jasper","GA",34.454934,-84.41583
"30144","30144-3155",1,3500,13067,"13067","cobb","georgia","13","GA","Kennesaw","GA",34.038949,-84.59706
"30144","30144-5704",1,3500,13067,"13067","cobb","georgia","13","GA","Kennesaw","GA",34.038949,-84.59706
"30144","30144-7545",1,3500,13067,"13067","cobb","georgia","13","GA","Kennesaw","GA",34.038949,-84.59706
