"fundraisingUnit","fundAmount"
"Instruction",14750000
"Education",950000
"Business",2400000
"Family & Consumer Sci",200000
"Environment & Design",50000
"Engineering",200000
"Arts & Sciences",550000
"Public & Int'l Affairs",50000
"Journalism & Mass Com",150000
"Lamar Dodd School of Art",50000
"Ag & Env Sciences",150000
"Forestry & Natural Resources",50000
