"studentID","fundCode"
810355146,316154
810641916,316154
810743127,316147
810743128,316200
811000468,316083
811012567,316176
811024004,316205
811025789,316034
811026180,316064
811037960,316139
811044428,316085
811044490,316018
811049094,316238
811056665,316065
811057979,316104
811062072,316146
811062625,316099
811097226,316089
811108414,316012
811108414,316013
811108414,316239
811111559,316059
811112452,316138
811116643,316110
811118051,316142
811121120,316071
811127291,316154
811131563,316017
811132957,316087
811134670,316027
811136277,316007
811140416,316187
811140782,316035
811143609,316013
811158083,316003
811161307,316043
811163742,316015
811168417,316112
811185930,316026
811186036,316145
811202914,316204
811208273,316111
811213653,316072
811214523,316092
811217909,316154
811220635,316162
811226106,316024
811233406,316109
811242359,316074
811245021,316154
811245706,316157
811247728,316057
811251554,316154
811253887,316094
811258920,316036
811261103,316155
811262967,316166
811268960,316088
811274661,316050
811276963,316154
811278205,316049
811280719,316074
811280719,316075
811292615,316168
811293280,316167
811293737,316060
811293933,316238
811296561,316098
811298112,316067
811301865,316144
811304690,316029
811318692,316220
811319244,316154
811329554,316194
811329991,316154
811365050,316141
811379349,316095
811380327,316140
811391453,316002
811392483,316070
811413562,316062
811416443,316066
811416443,316108
811416709,316052
811421682,316185
811435277,316047
811443077,316154
811444557,316022
811444673,316180
811451165,316154
811452048,316154
811457000,316154
811458959,316203
811463165,316066
811463165,316108
811467160,316051
811473846,316113
811473969,316107
811474939,316175
811477984,316014
811478410,316062
811482946,316084
811487231,316078
811487288,316058
811496025,316100
811508620,316073
811511076,316052
811511076,316154
811513753,316086
811516959,316154
811519722,316153
811527619,316019
811535090,316096
811535343,316154
811535889,316232
811540906,316212
811544240,316012
811547265,316106
811551825,316101
811557695,316163
811558674,316063
811572353,316218
811595382,316178
811607709,316001
811610568,316030
811616853,316053
811616853,316239
811626534,316103
811626634,316048
811640953,316043
811642085,316037
811644662,316068
811649218,316154
811653160,316198
811653970,316066
811659814,316182
811661692,316154
811664379,316186
811665740,316179
811681986,316154
811688877,316214
811707448,316154
811718766,316211
811719314,316055
811734015,316033
811737538,316154
811744413,316105
811751523,316016
811764232,316077
811765526,316154
811771399,316040
811771815,316020
811773314,316032
811773329,316039
811782936,316042
811788779,316028
811789735,316010
811797587,316178
811800769,316004
811801549,316057
811815429,316215
811817046,316217
811818570,316237
811825807,316061
811826823,316025
811829502,316011
811851577,316008
811857659,316082
811858287,316046
811865404,316041
811871571,316045
811878353,316014
811887865,316156
811888981,316006
811890301,316023
811902081,316076
811905460,316053
811905822,316031
811906022,316160
811918485,316195
811918943,316154
811922378,316236
811922461,316038
811935773,316044
811942199,316009
811958918,316174
811960644,316080
811969084,316208
811976277,316005
811985030,316154
811986255,316021
811988984,316206
811999805,316161
