"fundCode","fundName","incBal","principleBal","invBal","totBalFund","osfaCode","totBalStudent"
"7518300","Jim and Natalie Childs Georgia Commitment Scholarship Fund I",10500,86000,97311,193811,"316032",7000
"7528700","Ada Lee Correll Scholarship Fund",21000,172000,185209,378209,"316052",14000
